Date	Revenue USD Mil	Gross Margin %	Operating Income USD Mil	Operating Margin %	Net Income USD Mil	Earnings Per Share USD	Dividends USD	Payout Ratio %	Shares Mil	Book Value Per Share USD	Operating Cash Flow USD Mil	Cap Spending USD Mil	Free Cash Flow USD Mil	Free Cash Flow Per Share USD	Working Capital USD Mil
2005-09-01	6,369	22.0	781	12.3	494	0.31	?	?	1,631	1.36	924	-644	280	0.17	-18
2006-09-01	7,787	21.3	894	11.5	564	0.36	?	?	1,585	1.66	1,132	-771	360	0.25	-406
2007-09-01	9,411	23.3	1,054	11.2	673	0.44	?	?	1,540	1.60	1,331	-1,080	251	0.14	-459
2008-09-01	10,383	19.2	504	4.9	316	0.22	?	?	1,483	1.69	1,259	-985	274	0.18	-442
2009-09-01	9,775	55.8	562	5.7	391	0.26	?	?	1,492	2.05	1,389	-446	943	0.63	455
2010-09-01	10,707	58.4	1,419	13.3	946	0.62	0.12	18.6	1,528	2.48	1,705	-441	1,264	0.83	977
2011-09-01	11,700	57.7	1,729	14.8	1,246	0.81	0.26	32.1	1,539	2.94	1,612	-532	1,081	0.70	1,719
2012-09-01	13,300	56.3	1,997	15.0	1,384	0.90	0.34	35.7	1,546	3.59	1,750	-856	894	0.61	1,990
2013-09-01	14,892	57.1	-325	-2.2	8	0.01	0.42	38.3	1,525	3.81	2,908	-1,151	1,757	1.01	94
2014-09-01	16,448	58.3	3,081	18.7	2,068	1.36	0.52	304.7	1,526	3.38	608	-1,161	-553	-0.29	1,130
2015-09-01	18,429	59.2	3,486	18.9	2,693	1.77	0.61	34.4	1,518	3.95	3,520	-1,293	2,227	?	?
